Symbol,Company Name,Sector
CSSEP,"Chicken Soup for the Soul Entertainment, Inc. - 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock",Consumer Discretionary
CSTE,Caesarstone Ltd. - Ordinary Shares,Consumer Discretionary
CSTL,"Castle Biosciences, Inc. - Common stock",Health Care
CSTR,"CapStar Financial Holdings, Inc. - Common Stock",Finance
CSWC,Capital Southwest Corporation - Common Stock,Finance
CSWCZ,Capital Southwest Corporation - 7.75% Notes due 2028,Finance
CSWI,"CSW Industrials, Inc. - Common Stock",Industrials
CSX,CSX Corporation - Common Stock,Industrials
CTAS,Cintas Corporation - Common Stock,Consumer Discretionary
CTBI,"Community Trust Bancorp, Inc. - Common Stock",Finance
CTCX,Carmell Corporation - Common Stock,Health Care
CTCXW,Carmell Corporation - Warrant,Health Care
CTEC,Global X CleanTech ETF,
CTHR,Charles & Colvard Ltd. - Common Stock,Consumer Discretionary
CTKB,"Cytek Biosciences, Inc. - Common Stock",Health Care
CTLP,"Cantaloupe, Inc. - Common Stock",Technology
CTMX,"CytomX Therapeutics, Inc. - Common Stock",Health Care
CTNT,Cheetah Net Supply Chain Service Inc. - Class A Common Stock,
CTRM,Castor Maritime Inc. - Common Shares,Consumer Discretionary
CTRN,"Citi Trends, Inc. - Common Stock",Consumer Discretionary
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,Technology
CTSO,Cytosorbents Corporation - Common Stock,Health Care
CTXR,"Citius Pharmaceuticals, Inc. - Common Stock",Health Care
CUBA,"The Herzfeld Caribbean Basin Fund, Inc. - Closed End Fund",Finance
CUE,"Cue Biopharma, Inc. - Common Stock",Health Care
CUEN,"Cuentas, Inc. - Common Stock",
CUENW,"Cuentas, Inc. - Warrant",
CULL,"Cullman Bancorp, Inc. - Common Stock",Finance
CURI,CuriosityStream Inc.  - Class A Common Stock,Consumer Discretionary
CURIW,CuriosityStream Inc.  - Warrant,Consumer Discretionary
CUTR,"Cutera, Inc. - Common Stock",Health Care
CVAC,CureVac N.V. - Ordinary Shares,Health Care
CVBF,CVB Financial Corporation - Common Stock,Finance
CVCO,"Cavco Industries, Inc. - Common Stock",Consumer Discretionary
CVCY,Central Valley Community Bancorp - Common Stock,Finance
CVGI,"Commercial Vehicle Group, Inc. - Common Stock",Consumer Discretionary
CVGW,"Calavo Growers, Inc. - Common Stock",Consumer Discretionary
CVKD,"Cadrenal Therapeutics, Inc. - Common Stock",Health Care
CVLG,"Covenant Logistics Group, Inc. - Class A Common Stock",Industrials
CVLT,"Commvault Systems, Inc. - Common Stock",Technology
CVLY,"Codorus Valley Bancorp, Inc - Common Stock",Finance
CVRX,"CVRx, Inc. - Common Stock",Health Care
CVV,CVD Equipment Corporation - Common Stock,Technology
CWBC,Community West Bancshares - Common Stock,Finance
CWCO,Consolidated Water Co. Ltd. - Ordinary Shares,Utilities
CWD,CaliberCos Inc. - Class A Common Stock,Finance
CWST,"Casella Waste Systems, Inc. - Class A Common Stock",Utilities
CXAI,CXApp Inc. - Class A Common Stock,Technology
CXAIW,CXApp Inc. - Warrant,Technology
CXDO,"Crexendo, Inc. - Common Stock",Telecommunications
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,
CYAN,Cyanotech Corporation - Common Stock,Health Care
CYBR,CyberArk Software Ltd. - Ordinary Shares,Technology
CYCC,"Cyclacel Pharmaceuticals, Inc. - Common Stock",Health Care
CYCCP,"Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock",Health Care
CYCN,"Cyclerion Therapeutics, Inc. - Common Stock",Health Care
CYN,Cyngn Inc. - Common stock,Technology
CYRX,"CryoPort, Inc. - Common Stock",Health Care
CYT,"Cyteir Therapeutics, Inc. - Common Stock",Health Care
CYTH,"Cyclo Therapeutics, Inc. - Common Stock",Health Care
CYTHW,"Cyclo Therapeutics, Inc. - Warrant",Health Care
CYTK,"Cytokinetics, Incorporated - Common Stock",Health Care
CYTO,Altamira Therapeutics Ltd. - Common Shares,Health Care
CZAR,Themes Natural Monopoly ETF,
CZFS,"Citizens Financial Services, Inc. - Common Stock",Finance
CZNC,Citizens & Northern Corp - Common Stock,Finance
CZR,"Caesars Entertainment, Inc. - Common Stock",Consumer Discretionary
CZWI,"Citizens Community Bancorp, Inc. - Common Stock",Finance
DADA,Dada Nexus Limited - American Depositary Shares,Technology
DAIO,Data I/O Corporation - Common Stock,Industrials
DAKT,"Daktronics, Inc. - Common Stock",Industrials
DALI,First Trust Dorsey Wright DALI 1 ETF,
DALN,DallasNews Corporation - Series A Common Stock,Consumer Discretionary
DAPP,VanEck Digital Transformation ETF,
DARE,"Dare Bioscience, Inc. - Common Stock",Health Care
DASH,"DoorDash, Inc. - Common Stock",
DATS,"DatChat, Inc. - Common Stock",Technology
DATSW,"DatChat, Inc. - Series A Warrant",Technology
DAVE,Dave Inc.  - Class A Common Stock,Technology
DAVEW,Dave Inc.  - Warrants,Technology
DAWN,"Day One Biopharmaceuticals, Inc. - Common Stock",Health Care
DAX,Global X DAX Germany ETF,
DBGI,"Digital Brands Group, Inc. - Common Stock",Consumer Discretionary
DBGIW,"Digital Brands Group, Inc. - Warrant",Consumer Discretionary
DBVT,DBV Technologies S.A. - American Depositary Shares,Health Care
DBX,"Dropbox, Inc. - Class A Common Stock",Technology
DCBO,Docebo Inc. - Common Shares,
DCFC,Tritium DCFC Limited - Ordinary Shares,Technology
DCFCW,Tritium DCFC Limited - Warrant,Technology
DCGO,DocGo Inc. - Common Stock,Health Care
DCOM,"Dime Community Bancshares, Inc. - Common Stock",Finance
DCOMP,"Dime Community Bancshares, Inc. - Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",Finance
DCPH,"Deciphera Pharmaceuticals, Inc. - Common Stock",Health Care
DCTH,"Delcath Systems, Inc. - Common Stock",Health Care
DDI,"DoubleDown Interactive Co., Ltd. - American Depository Shares",Technology
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,
DDOG,"Datadog, Inc. - Class A Common Stock",Technology
DECA,Denali Capital Acquisition Corp. - Class A Ordinary Shares,Finance
DECAU,Denali Capital Acquisition Corp. - Unit,Finance
DECAW,Denali Capital Acquisition Corp. - Warrant,Finance
DEMZ,Democratic Large Cap Core ETF,
DENN,Denny's Corporation - Common Stock,Consumer Discretionary
DERM,Journey Medical Corporation - Common Stock,Health Care
DFGP,Dimensional Global Core Plus Fixed Income ETF,
DFGX,Dimensional Global ex US Core Fixed Income ETF,
DFLI,Dragonfly Energy Holdings Corp - Common Stock,Technology
DFLIW,Dragonfly Energy Holdings Corp - Warrant,Technology
DGCB,Dimensional Global Credit ETF,
DGHI,Digihost Technology Inc. - Common Subordinate Voting Shares,Finance
DGICA,"Donegal Group, Inc. - Class A Common Stock",Finance
DGICB,"Donegal Group, Inc. - Class B Common Stock",Finance
DGII,Digi International Inc. - Common Stock,Technology
DGLY,"Digital Ally, Inc. - Common Stock",Technology
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,
DH,Definitive Healthcare Corp. - Class A Common Stock,Technology
DHAC,Digital Health Acquisition Corp. - Common Stock,Health Care
DHACU,Digital Health Acquisition Corp. - Unit,Health Care
DHACW,Digital Health Acquisition Corp. - Warrant,Health Care
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,Real Estate
DHCA,DHC Acquisition Corp. - Class A ordinary share,Finance
DHCAU,DHC Acquisition Corp. - Unit,Finance
DHCAW,DHC Acquisition Corp. - Warrant,Finance
DHCNI,Diversified Healthcare Trust  - 5.625% Senior Notes due 2042,Real Estate
DHCNL,Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046,Real Estate
DHIL,"Diamond Hill Investment Group, Inc. - Class A Common Stock",Finance
DIBS,"1stdibs.com, Inc. - Common Stock",Consumer Discretionary
DIOD,Diodes Incorporated - Common Stock,Technology
DISA,Disruptive Acquisition Corporation I - Class A Ordinary Shares,Finance
DISAU,Disruptive Acquisition Corporation I - Unit,Finance
DISAW,Disruptive Acquisition Corporation I - Warrant,Finance
DISH,DISH Network Corporation - Class A Common Stock,Telecommunications
DIST,Distoken Acquisition Corporation - Ordinary Shares,Finance
DISTR,Distoken Acquisition Corporation - Right,Finance
DISTW,Distoken Acquisition Corporation - Warrant,Finance
DIVD,Altrius Global Dividend ETF,
DJCO,Daily Journal Corp. (S.C.) - Common Stock,Consumer Discretionary
DKNG,DraftKings Inc. - Class A Common Stock,Consumer Discretionary
DLHC,DLH Holdings Corp. - Common Stock,Consumer Discretionary
DLO,DLocal Limited - Class A Common Shares,
DLPN,"Dolphin Entertainment, Inc. - Common Stock",Consumer Discretionary
DLTH,Duluth Holdings Inc. - Class B Common Stock,Consumer Discretionary
DLTR,"Dollar Tree, Inc. - Common Stock",Consumer Discretionary
DMAC,DiaMedica Therapeutics Inc. - Common Stock,Health Care
DMAQ,Deep Medicine Acquisition Corp. - Class A Common Stock,Industrials
DMAQR,Deep Medicine Acquisition Corp. - Rights,
DMAT,Global X Disruptive Materials ETF,
DMK,DMK Pharmaceuticals Corporation - Common Stock,Health Care
DMLP,"Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests",Energy
DMRC,Digimarc Corporation - Common Stock,Technology
DMTK,"DermTech, Inc. - Common Stock",Health Care
DMXF,iShares ESG Advanced MSCI EAFE ETF,
DNLI,Denali Therapeutics Inc. - Common Stock,Health Care
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",Health Care
DNUT,"Krispy Kreme, Inc. - Common Stock",Consumer Staples
DOCU,"DocuSign, Inc. - Common Stock",Technology
DOGZ,Dogness (International) Corporation - Class A Common Stock,Consumer Discretionary
DOMH,Dominari Holdings Inc. - Common Stock,Health Care
DOMO,"Domo, Inc. - Class B Common Stock",Technology
DOOO,BRP Inc. - Common Subordinate Voting Shares,
DORM,"Dorman Products, Inc. - Common Stock",Consumer Discretionary
DOX,Amdocs Limited - Ordinary Shares,Technology
DOYU,DouYu International Holdings Limited - American Depositary Shares,Technology
DPCS,DP Cap Acquisition Corp I - Class A Ordinary Shares,Finance
DPCSU,DP Cap Acquisition Corp I - Unit,Finance
DPCSW,DP Cap Acquisition Corp I - Warrants,Finance
DPRO,Draganfly Inc. - Common Shares,Consumer Discretionary
DRCT,"Direct Digital Holdings, Inc. - Class A Common Stock",Technology
DRIO,DarioHealth Corp. - Common Stock,Health Care
DRIV,Global X Autonomous & Electric Vehicles ETF,
DRMA,"Dermata Therapeutics, Inc. - Common Stock",Health Care
DRMAW,"Dermata Therapeutics, Inc. - Warrant",Health Care
DRRX,DURECT Corporation - Common Stock,Health Care
DRS,"Leonardo DRS, Inc. - Common Stock",Industrials
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,Health Care
DRTSW,Alpha Tau Medical Ltd. - Warrant,Health Care
DRUG,Bright Minds Biosciences Inc. - common stock,Health Care
DRVN,Driven Brands Holdings Inc. - Common Stock,Consumer Discretionary
DSGN,"Design Therapeutics, Inc. - Common Stock",Health Care
DSGR,"Distribution Solutions Group, Inc. - Common Stock",Industrials
DSGX,The Descartes Systems Group Inc. - Common Stock,
DSKE,"Daseke, Inc. - Common Stock",
DSP,Viant Technology Inc. - common stock,Technology
DSWL,"Deswell Industries, Inc. - Common Shares",Industrials
DTCK,Davis Commodities Limited - Ordinary Shares,Industrials
DTI,Drilling Tools International Corporation  - Common Stock,Industrials
DTIL,"Precision BioSciences, Inc. - Common Stock",Health Care
DTSS,Datasea Inc. - Common Stock,Technology
DTST,Data Storage Corporation - Common Stock,Technology
DTSTW,Data Storage Corporation - Warrant,Technology
DUET,DUET Acquisition Corp. - Class A Common Stock,
DUETU,DUET Acquisition Corp. - Unit,
DUETW,DUET Acquisition Corp. - Warrant,
DUNE,Dune Acquisition Corporation - Class A Common Stock,Finance
DUNEU,Dune Acquisition Corporation - Unit,Finance
DUNEW,Dune Acquisition Corporation - Warrant,Finance
DUO,Fangdd Network Group Ltd. - American Depositary Shares,Finance
DUOL,"Duolingo, Inc. - Class A Common Stock",Technology
DUOT,"Duos Technologies Group, Inc. - Common Stock",Technology
DVAL,BrandywineGLOBAL-Dynamic US Large Cap Value ETF,
DVAX,Dynavax Technologies Corporation - Common Stock,Health Care
DVLU,First Trust Dorsey Wright Momentum & Value ETF,
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,
DVY,iShares Select Dividend ETF,
DWAC,Digital World Acquisition Corp. - Class A Common Stock,Technology
DWACU,Digital World Acquisition Corp. - Units,Technology
DWACW,Digital World Acquisition Corp. - Warrants,Technology
DWAS,Invesco Dorsey Wright SmallCap Momentum ETF,
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,
DWSH,AdvisorShares Dorsey Wright Short ETF,
DWSN,Dawson Geophysical Company - Common Stock,Energy
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,
DXCM,"DexCom, Inc. - Common Stock",Health Care
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,
DXLG,"Destination XL Group, Inc. - Common Stock",Consumer Discretionary
DXPE,"DXP Enterprises, Inc. - Common Stock",Industrials
DXR,Daxor Corporation - Closed End Fund,Health Care
DXYN,"The Dixie Group, Inc. - Common Stock",Consumer Discretionary
DYAI,"Dyadic International, Inc. - Common Stock",Health Care
DYN,"Dyne Therapeutics, Inc. - Common Stock",Health Care
DYNI,IDX Dynamic Innovation ETF,
DYNT,Dynatronics Corporation - Common Stock,Health Care
DYTA,SGI Dynamic Tactical ETF,
DZSI,DZS Inc. - Common Stock,Utilities
EA,Electronic Arts Inc. - Common Stock,Technology
EAC,Edify Acquisition Corp. - Class A Common Stock,Finance
EACPU,Edify Acquisition Corp. - Units,Finance
EACPW,Edify Acquisition Corp. - Warrant,Finance
EAR,"Eargo, Inc. - Common Stock",Health Care
EAST,"Eastside Distilling, Inc. - Common Stock",Consumer Staples
EBAY,eBay Inc. - Common Stock,Consumer Discretionary
EBC,"Eastern Bankshares, Inc. - Common Stock",Finance
EBIX,"Ebix, Inc. - Common Stock",Technology
EBIZ,Global X E-commerce ETF,
EBMT,"Eagle Bancorp Montana, Inc. - Common Stock",Finance
EBON,Ebang International Holdings Inc. - Class A Ordinary Shares,Technology
EBTC,Enterprise Bancorp Inc - Common Stock,Finance
ECBK,"ECB Bancorp, Inc. - Common Stock",Finance
ECDA,"ECD Automotive Design, Inc. - Common Stock",Consumer Discretionary
ECDAW,"ECD Automotive Design, Inc. - Warrant",Consumer Discretionary
ECOR,"electroCore, Inc. - Common Stock",Health Care
ECOW,Pacer Emerging Markets Cash Cows 100 ETF,
ECPG,Encore Capital Group Inc - Common Stock,Finance
ECX,ECARX Holdings Inc. - Class A Ordinary shares,Technology
ECXWW,ECARX Holdings Inc. - Warrants,Technology
EDAP,"EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share",Health Care
EDBL,Edible Garden AG Incorporated - Common Stock,Consumer Staples
EDBLW,Edible Garden AG Incorporated - Warrant,Consumer Staples
EDIT,"Editas Medicine, Inc. - Common Stock",Health Care
EDOC,Global X Telemedicine & Digital Health ETF,
EDRY,EuroDry Ltd. - Common Shares,Consumer Discretionary
EDSA,"Edesa Biotech, Inc. - Common Shares",Health Care
EDTK,Skillful Craftsman Education Technology Limited - Ordinary Share,Real Estate
EDUC,Educational Development Corporation - Common Stock,Consumer Discretionary
EEFT,"Euronet Worldwide, Inc. - Common Stock",Finance
EEIQ,EpicQuest Education Group International Limited - Common Stock,Real Estate
EEMA,iShares MSCI Emerging Markets Asia ETF,
EFAS,Global X MSCI SuperDividend EAFE ETF,
EFOI,"Energy Focus, Inc. - Common Stock",Consumer Discretionary
EFRA,iShares Environmental Infrastructure and Industrials ETF,
EFSC,Enterprise Financial Services Corporation - Common Stock,Finance
EFSCP,"Enterprise Financial Services Corporation - Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",Finance
EFTR,"eFFECTOR Therapeutics, Inc. - Common Stock",Health Care
EFTRW,"eFFECTOR Therapeutics, Inc. - Warrant",Health Care
EGAN,eGain Corporation - Common Stock,Technology
EGBN,"Eagle Bancorp, Inc. - Common Stock",Finance
EGHT,8x8 Inc - Common stock,Technology
EGIO,"Edgio, Inc. - Common Stock",Consumer Discretionary
EGOX,Next.e.GO N.V. - Ordinary Shares,
EGRX,"Eagle Pharmaceuticals, Inc. - Common Stock",Health Care
EH,EHang Holdings Limited - ADS,
EHTH,"eHealth, Inc. - Common Stock",Finance
EIGR,"Eiger BioPharmaceuticals, Inc. - Common Stock",Health Care
EJH,E-Home Household Service Holdings Limited - Ordinary shares,Consumer Discretionary
EKG,First Trust Nasdaq Lux Digital Health Solutions ETF,
EKSO,"Ekso Bionics Holdings, Inc. - Common Stock",Industrials
ELAB,"Elevai Labs, Inc. - Common Stock",
ELBM,Electra Battery Materials Corporation - Common Stock,Miscellaneous
ELDN,"Eledon Pharmaceuticals, Inc. - Common Stock",Health Care
ELEV,"Elevation Oncology, Inc. - Common stock",Health Care
ELSE,"Electro-Sensors, Inc. - Common Stock",Industrials
ELTK,Eltek Ltd. - Ordinary Shares,Technology
ELTX,"Elicio Therapeutics, Inc. - Common Stock",Health Care
ELUT,"Elutia, Inc. - Class A Common Stock",Health Care
ELVA,Electrovaya Inc. - Common Shares,
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",Health Care
ELWS,"Earlyworks Co., Ltd. - American Depositary Shares",
ELYM,"Eliem Therapeutics, Inc - Common Stock",Health Care
EM,Smart Share Global Limited - American Depositary Shares,Consumer Discretionary
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,
EMBC,Embecta Corp. - Common Stock,Health Care
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,
EMCG,Embrace Change Acquisition Corp - Ordinary Shares,Finance
EMCGR,Embrace Change Acquisition Corp - Rights,Finance
EMCGU,Embrace Change Acquisition Corp - Units,Finance
EMCGW,Embrace Change Acquisition Corp - Warrants,Finance
EMIF,iShares Emerging Markets Infrastructure ETF,
EMKR,EMCORE Corporation - Common Stock,Technology
EML,Eastern Company (The) - Common Stock,Consumer Discretionary
EMLD,FTAC Emerald Acquisition Corp. - Class A Common Stock,Finance
EMLDU,FTAC Emerald Acquisition Corp. - Unit,Finance
EMLDW,FTAC Emerald Acquisition Corp. - Warrant,Finance
EMXC,iShares MSCI Emerging Markets ex China ETF,
EMXF,iShares ESG Advanced MSCI EM ETF,
ENCP,Energem Corp - Class A Ordinary Shares,
ENCPU,Energem Corp - Unit,
ENCPW,Energem Corp - Warrant,
ENER,Accretion Acquisition Corp. - Common Stock,Finance
ENERR,Accretion Acquisition Corp. - Right,Finance
ENERU,Accretion Acquisition Corp. - Unit,Finance
ENERW,Accretion Acquisition Corp. - Warrant,Finance
ENG,ENGlobal Corporation - Common Stock,Consumer Discretionary
ENGN,enGene Holdings Inc. - Common Stock,
ENGNW,enGene Holdings Inc. - Warrants,
ENLT,Enlight Renewable Energy Ltd. - Ordinary Shares,
ENLV,Enlivex Therapeutics Ltd. - Ordinary Shares,Health Care
ENPH,"Enphase Energy, Inc. - Common Stock",Technology
ENSC,"Ensysce Biosciences, Inc. - Common Stock",Health Care
ENSG,"The Ensign Group, Inc. - Common Stock",Health Care
ENTA,"Enanta Pharmaceuticals, Inc. - Common Stock",Health Care
ENTG,"Entegris, Inc. - Common Stock",Industrials
ENTR,ERShares Entrepreneurs ETF,
ENTX,Entera Bio Ltd. - Ordinary Shares,Health Care
ENVB,"Enveric Biosciences, Inc.  - Common Stock",Health Care
ENVX,Enovix Corporation - Common Stock,Miscellaneous
ENZL,iShares MSCI New Zealand ETF,
EOLS,"Evolus, Inc. - Common Stock",Health Care
EOSE,"Eos Energy Enterprises, Inc. - Common Stock",Miscellaneous
EOSEW,"Eos Energy Enterprises, Inc. - Warrant",Miscellaneous
EPIX,ESSA Pharma Inc. - Common Stock,Health Care
EPOW,"Sunrise New Energy Co., Ltd - Ordinary Shares",Consumer Discretionary
EPSN,Epsilon Energy Ltd. - Common Shares,Energy
EQ,"Equillium, Inc. - Common Stock",Health Care
EQIX,"Equinix, Inc. - Common Stock",Real Estate
EQRR,ProShares Equities for Rising Rates ETF,
ERAS,"Erasca, Inc. - Common Stock",Health Care
ERET,iShares Environmentally Aware Real Estate ETF,
ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share,Technology
ERIE,Erie Indemnity Company - Class A Common Stock,Finance
ERII,"Energy Recovery, Inc. - Common Stock",Technology
ERNA,Eterna Therapeutics Inc. - Common Stock,Health Care
ERSX,ERShares NextGen Entrepreneurs ETF,
ESAC,ESGEN Acquisition Corporation - Class A Ordinary Shares,Finance
ESACU,ESGEN Acquisition Corporation - Unit,Finance
ESACW,ESGEN Acquisition Corporation - Warrants,Finance
ESCA,"Escalade, Incorporated - Common Stock",Consumer Discretionary
ESEA,Euroseas Ltd. - Common Stock,Consumer Discretionary
ESGD,iShares ESG Aware MSCI EAFE ETF,
ESGE,iShares ESG Aware MSCI EM ETF,
ESGL,ESGL Holdings Limited - Class A Ordinary Shares,
ESGLW,ESGL Holdings Limited - Warrants,
ESGR,Enstar Group Limited - Ordinary Shares,Finance
ESGRO,"Enstar Group Limited - Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E",Finance
ESGRP,Enstar Group Limited - Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,Finance
ESGU,iShares ESG Aware MSCI USA ETF,
ESHA,ESH Acquisition Corp. - Class A Common Stock,Finance
ESHAR,ESH Acquisition Corp. - Right,Finance
ESLA,"Estrella Immunopharma, Inc. - Common Stock",Health Care
ESLAW,"Estrella Immunopharma, Inc. - Warrant",Health Care
ESLT,Elbit Systems Ltd. - Ordinary Shares,Industrials
ESMV,iShares ESG MSCI USA Min Vol Factor ETF,
ESOA,Energy Services of America Corporation - Common Stock,Industrials
ESPO,VanEck Video Gaming and eSports ETF,
ESPR,"Esperion Therapeutics, Inc. - Common Stock",Health Care
ESQ,"Esquire Financial Holdings, Inc. - Common Stock",Finance
ESSA,"ESSA Bancorp, Inc. - common stock",Finance
ESTA,Establishment Labs Holdings Inc. - Common Shares,
ETAO,"Etao International Co., Ltd. - Ordinary Shares",Finance
ETEC,iShares Breakthrough Environmental Solutions ETF,
ETNB,"89bio, Inc. - Common Stock",Health Care
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",Health Care
ETSY,"Etsy, Inc. - Common Stock",Consumer Discretionary
EUDA,Euda Health Holdings Limited - Ordinary Shares,Finance
EUDAW,Euda Health Holdings Limited - Warrant,
EUFN,iShares MSCI Europe Financials ETF,
EVAX,Evaxion Biotech A/S - American Depositary Share,Health Care
EVBG,"Everbridge, Inc. - Common Stock",Technology
EVCM,EverCommerce Inc. - Common Stock,Technology
EVER,"EverQuote, Inc. - Class A Common Stock",Technology
EVGN,Evogene Ltd. - Ordinary Shares,Industrials
EVGO,EVgo Inc. - Common Stock,Consumer Discretionary
EVGOW,"EVgo Inc. - Warrants, each whole warrant exercisable for one share of Class A Common Stock at an exercise price of $11.50",Consumer Discretionary
EVGR,Evergreen Corporation - Class A Ordinary Share,
EVGRU,Evergreen Corporation - Unit,
EVGRW,Evergreen Corporation - Warrant,
EVLV,"Evolv Technologies Holdings, Inc. - Class A Common Stock",Technology
EVLVW,"Evolv Technologies Holdings, Inc. - Warrant",Technology
EVMT,Invesco Electric Vehicle Metals Commodity Strategy No K-1 ETF,
EVO,Evotec SE - American Depositary Shares each representing 1/2 of one ordinary share,Health Care
EVOK,"Evoke Pharma, Inc. - Common Stock",Health Care
EVRG,"Evergy, Inc. - Common Stock",Utilities
EVTV,"Envirotech Vehicles, Inc. - Common stock",Consumer Discretionary
EWBC,"East West Bancorp, Inc. - Common Stock",Finance
EWCZ,"European Wax Center, Inc. - Class A Common Stock",Consumer Discretionary
EWJV,iShares MSCI Japan Value ETF,
EWTX,"Edgewise Therapeutics, Inc. - Common Stock",Health Care
EWZS,iShares MSCI Brazil Small-Cap ETF,
EXAI,Exscientia Plc - American Depositary Shares,Health Care
EXAS,Exact Sciences Corporation - Common Stock,Health Care
EXC,Exelon Corporation - Common Stock,Utilities
EXEL,"Exelixis, Inc. - Common Stock",Health Care
EXFY,"Expensify, Inc. - Class A Common Stock",Technology
EXLS,"ExlService Holdings, Inc. - Common Stock",Technology
EXPE,"Expedia Group, Inc. - Common Stock",Consumer Discretionary
EXPI,"eXp World Holdings, Inc. - Common Stock",Finance
EXPO,"Exponent, Inc. - Common Stock",Consumer Discretionary
EXTR,"Extreme Networks, Inc. - Common Stock",Telecommunications
EYE,"National Vision Holdings, Inc. - Common Stock",Health Care
EYEG,AB Corporate Bond ETF,
EYEN,"Eyenovia, Inc. - Common Stock",Health Care
EYPT,"EyePoint Pharmaceuticals, Inc. - Common Stock",Industrials
EZFL,"EzFill Holdings, Inc. - Common Stock",Technology
EZGO,EZGO Technologies Ltd. - Ordinary Shares,Consumer Discretionary
EZPW,"EZCORP, Inc. - Class A Non-Voting Common Stock",Miscellaneous
FA,First Advantage Corporation - Common Stock,Consumer Discretionary
FAAR,First Trust Alternative Absolute Return Strategy ETF,
FAB,First Trust Multi Cap Value AlphaDEX Fund,
FAD,First Trust Multi Cap Growth AlphaDEX Fund,
FALN,iShares Fallen Angels USD Bond ETF,
FAMI,"Farmmi, INC. - Ordinary Shares",Consumer Staples
FANG,"Diamondback Energy, Inc. - Common Stock",Energy
FANH,"Fanhua Inc. - American depositary shares, each representing 20 ordinary shares",Finance
FARM,Farmer Brothers Company - Common Stock,Consumer Staples
FARO,"FARO Technologies, Inc. - Common Stock",Industrials
FAST,Fastenal Company - Common Stock,Consumer Discretionary
FAT,FAT Brands Inc. - Common Stock,Consumer Discretionary
FATBB,FAT Brands Inc. - Class B Common Stock,Consumer Discretionary
FATBP,FAT Brands Inc. - 8.25% Series B Cumulative Preferred Stock,Consumer Discretionary
FATBW,FAT Brands Inc. - Warrant,Consumer Discretionary
FATE,"Fate Therapeutics, Inc. - Common Stock",Health Care
FAZE,FaZe Holdings Inc. - Common Stock,Industrials
FAZEW,FaZe Holdings Inc. - Warrant,Industrials
FBIO,"Fortress Biotech, Inc. - Common Stock",Health Care
FBIOP,"Fortress Biotech, Inc. - 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock",Health Care
FBIZ,"First Business Financial Services, Inc. - Common Stock",Finance
FBL,GraniteShares 1.5x Long Meta Daily ETF,
FBMS,"The First Bancshares, Inc. - Common Stock",Finance
FBNC,First Bancorp - Common Stock,Finance
FBOT,Fidelity Disruptive Automation ETF,
FBRX,"Forte Biosciences, Inc.  - Common Stock",Health Care
FBYD,"Falcon's Beyond Global, Inc. - Class A Common Stock",
FBYDW,"Falcon's Beyond Global, Inc. - Warrants",
FBZ,First Trust Brazil AlphaDEX Fund,
FCA,First Trust China AlphaDEX Fund,
FCAL,First Trust California Municipal High income ETF,
FCAP,"First Capital, Inc. - Common Stock",Finance
FCBC,"First Community Bankshares, Inc. - Common Stock",Finance
FCCO,First Community Corporation - Common Stock,Finance
FCEF,First Trust Income Opportunities ETF,
FCEL,"FuelCell Energy, Inc. - Common Stock",Energy
FCFS,"FirstCash Holdings, Inc. - Common Stock",Consumer Discretionary
FCNCA,"First Citizens BancShares, Inc. - Class A Common Stock",Finance
FCNCO,"First Citizens BancShares, Inc. - 5.625% Non-Cumulative Perpetual Preferred Stock, Series C",Finance
FCNCP,"First Citizens BancShares, Inc. - Depositary Shares Each Representing a 1/40th Interest in a Share of 5.375% Non-Cumulative Perpetual Preferred Stock, Series A",Finance
FCUV,Focus Universal Inc. - Common Stock,Industrials
FCVT,First Trust SSI Strategic Convertible Securities ETF,
